Customer_ID;Customer_Name;Purchase_Date;Product_Category;Store_Name;Store_Location;Sales_Amount;Quantity_Amount;Discount_Applied;Purchase_Year;Purchase_Month;Purchase_Day;Price_Amount
('ORD001','Allison Hill','2025-02-04','Electronics','Les Al Minos','New York NY',372.07,1,'TRUE',2025,'February','Monday',241.07),
('ORD002','Megan Mcclain','2025-01-14','Books','Omega Des Phil','Los Angeles CA',369.55,3,'TRUE',2025,'January','Monday',103.55),
('ORD003','Allen Robinson','2025-03-20','Groceries','Big Judas','Chicago IL',19.75,1,'TRUE',2025,'March','Wednesday',16.75),
('ORD004','Cristian Santos','2025-03-27','Books','Alpha Des Mino','Miami FL',303.0,9,'TRUE',2025,'March','Wednesday',83.0),
('ORD005','Kevin Pacheco','2025-01-02','Groceries','Sigma Des Al Fredo','Dallas TX',227.36,4,'FALSE',2025,'January','Wednesday',78.36),
('ORD006','Melissa Peterson','2025-01-25','Electronics','Les Al Minos','New York NY',350.58,3,'FALSE',2025,'January','Friday',45.58),
('ORD007','Gabrielle Davis','2025-01-16','Clothing','Omega Des Phil','Los Angeles CA',111.58,3,'FALSE',2025,'January','Wednesday',55.58),
('ORD008','Lindsey Roman','2025-04-24','Electronics','Big Judas','Chicago IL',193.06,2,'FALSE',2025,'April','Wednesday',175.06),
('ORD009','Valerie Gray','2025-03-28','Clothing','Alpha Des Mino','Miami FL',135.94,10,'TRUE',2025,'March','Thursday',121.94),
('ORD010','Lisa Hensley','2025-04-01','Groceries','Sigma Des Al Fredo','Dallas TX',66.79,9,'FALSE',2025,'April','Monday',20.79),
('ORD011','Amber Perez','2025-02-15','Electronics','Les Al Minos','San Francisco CA',150.12,9,'FALSE',2025,'February','Friday',17.12),
('ORD012','David Garcia','2025-02-13','Books','Omega Des Phil','Houston TX',27.68,2,'TRUE',2025,'February','Wednesday',24.68),
('ORD013','Holly Wood','2025-02-02','Clothing','Big Judas','Phoenix AZ',428.38,2,'TRUE',2025,'February','Saturday',361.38),
('ORD014','Timothy Wong','2025-04-06','Groceries','Alpha Des Mino','Atlanta GA',229.44,5,'FALSE',2025,'April','Saturday',71.44),
('ORD015','Nicholas Martin','2025-03-01','Books','Sigma Des Al Fredo','Seattle WA',180.86,6,'FALSE',2025,'March','Friday',47.86),
('ORD016','Margaret Hawkins DDS','2025-05-12','Electronics','Les Al Minos','Denver CO',319.31,10,'TRUE',2025,'May','Sunday',269.31),
('ORD017','Crystal Johnson','2025-02-19','Books','Omega Des Phil','Boston MA',192.83,8,'TRUE',2025,'February','Tuesday',146.83),
